year,month,file,row_count,date,mom_change,mom_change_pct
2009,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-01.parquet,14092413,2009-01-01,,
2009,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-02.parquet,13380122,2009-02-01,-712291.0,-5.0544289327881575
2009,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-03.parquet,14387371,2009-03-01,1007249.0,7.527950791480076
2009,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-04.parquet,14294783,2009-04-01,-92588.0,-0.6435366127696351
2009,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-05.parquet,14796313,2009-05-01,501530.0,3.508482780046407
2009,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-06.parquet,14184249,2009-06-01,-612064.0,-4.136598083590148
2009,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-07.parquet,13626103,2009-07-01,-558146.0,-3.93497040273334
2009,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-08.parquet,13686520,2009-08-01,60417.0,0.443391628552936
2009,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-09.parquet,13984887,2009-09-01,298367.0,2.1800063127807467
2009,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-10.parquet,15604551,2009-10-01,1619664.0,11.581530833963827
2009,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-11.parquet,14275339,2009-11-01,-1329212.0,-8.51810475033854
2009,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2009/yellow_tripdata_2009-12.parquet,14583404,2009-12-01,308065.0,2.158022306860796
2010,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-01.parquet,14863778,2010-01-01,280374.0,1.9225552552751157
2010,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-02.parquet,11145409,2010-02-01,-3718369.0,-25.016311465362307
2010,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-03.parquet,12884362,2010-03-01,1738953.0,15.602415308401874
2010,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-04.parquet,15144990,2010-04-01,2260628.0,17.545517581700977
2010,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-05.parquet,15481351,2010-05-01,336361.0,2.2209390696197318
2010,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-06.parquet,14825128,2010-06-01,-656223.0,-4.238796730337036
2010,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-07.parquet,14656519,2010-07-01,-168609.0,-1.1373190167396907
2010,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-08.parquet,12528177,2010-08-01,-2128342.0,-14.521469934300224
2010,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-09.parquet,15540209,2010-09-01,3012032.0,24.04206134699407
2010,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-10.parquet,14199607,2010-10-01,-1340602.0,-8.626666475335043
2010,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-11.parquet,13912310,2010-11-01,-287297.0,-2.0232743061128433
2010,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2010/yellow_tripdata_2010-12.parquet,13819322,2010-12-01,-92988.0,-0.6683864865000833
2011,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-01.parquet,13464997,2011-01-01,-354325.0,-2.5639825166531294
2011,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-02.parquet,14202809,2011-02-01,737812.0,5.479481354507554
